ID,RA,DEC,ZBEST
326,51.6648333333333,-27.70375,0.6116499900817871
327,51.6649166666667,-28.0205277777778,0.5362100005149841
328,51.6666666666667,-27.8310833333333,0.07481999695301056
329,51.66687,-26.80514,0.2413
330,51.6687916666667,-28.4952222222222,0.23725000023841858
331,51.6697916666667,-28.1505833333333,0.21974000334739685
332,51.670125,-28.3711388888889,0.8469499945640564
333,51.6705416666667,-28.5352222222222,2.492340087890625
334,51.6715,-28.75794,0.233814
335,51.6718333333333,-27.8588888888889,0.302590012550354
336,51.6723333333333,-27.9715555555556,0.31643998622894287
337,51.672375,-28.3054722222222,0.6765300035476685
338,51.67346,-26.95289,0.203761
339,51.6738333333333,-27.9595833333333,1.5383100509643555
340,51.6744583333333,-28.1354444444444,0.21999000012874603
341,51.6757083333333,-28.4761111111111,0.23631000518798828
342,51.6777916666667,-27.9525833333333,0.5285000205039978
343,51.67904,-27.79983,0.0627
344,51.6802083333333,-28.2256111111111,0.2969200015068054
345,51.68058333333333,-28.36984166666667,0.32199999690055847
346,51.68075,-28.22446111111111,0.2955999970436096
347,51.68096,-28.30234,0.160694
348,51.6810416666667,-27.8918888888889,0.7952399849891663
349,51.681666666666665,-27.85586111111111,0.30320000648498535
350,51.6828333333333,-27.8991666666667,0.12038999795913696
351,51.6832916666667,-28.1158611111111,1.530329942703247
352,51.68442,-26.76053,0.1474
353,51.6845833333333,-28.3168333333333,0.1604200005531311
354,51.6849166666667,-28.0581666666667,0.24121999740600586
355,51.6855,-28.1808611111111,0.32183000445365906
356,51.685625,-28.3678055555556,0.3936299979686737
357,51.68679,-26.83556,0.102359
358,51.68688,-27.56753,0.1435
359,51.6872083333333,-28.2265,0.5429999828338623
360,51.68841666666666,-27.917027777777776,0.5547000169754028
361,51.6888333333333,-28.049,0.12082000076770782
362,51.69062,-26.60283,0.0817
363,51.69112,-28.34161,0.067579
364,51.693,-28.0783611111111,0.29899999499320984
365,51.69342,-26.63536,0.1937
366,51.6958333333333,-28.0010277777778,0.45910999178886414
367,51.697,-29.00644,0.110363
368,51.6972916666667,-27.9030555555556,0.5695400238037109
369,51.6975,-28.30206,0.16046
370,51.697583333333334,-27.773305555555556,0.7310000061988831
371,51.6979583333333,-28.4983888888889,0.23725999891757965
372,51.6987916666667,-27.97075,1.2613199949264526
373,51.6992916666667,-27.8286111111111,0.3331499993801117
374,51.6999583333333,-28.3707777777778,0.9953200221061707
375,51.7004583333333,-28.1263333333333,0.2165600061416626
376,51.70104,-28.631,0.067163
377,51.70108,-26.78114,0.1472
378,51.7010833333333,-27.6673611111111,0.6299600005149841
379,51.70117,-26.61278,0.2446
380,51.701625,-28.3941111111111,0.4904400110244751
381,51.7018333333333,-28.3601666666667,0.32190001010894775
382,51.70195833333334,-27.82723888888889,2.9869000911712646
383,51.7033333333333,-27.8616388888889,0.3025699853897095
384,51.7039583333333,-27.7503333333333,0.447270005941391
385,51.70571,-28.76642,0.10798
386,51.7065,-28.25508,0.062671
387,51.7069166666667,-27.8598888888889,0.15413999557495117
388,51.70808333333333,-28.620249999999995,0.6837999820709229
389,51.71142,-26.77881,0.1478
390,51.7132083333333,-27.8976111111111,0.1544400006532669
391,51.71404,-28.28822,0.160399
392,51.71475,-27.8061388888889,0.3031199872493744
393,51.716,-28.3532222222222,0.6141200065612793
394,51.7162083333333,-28.1809166666667,0.22216999530792236
395,51.71621,-28.16006,0.0698
396,51.7172083333333,-27.8285277777778,0.29357001185417175
397,51.7173333333333,-28.4156111111111,0.2650099992752075
398,51.71879166666666,-28.2748,0.1395999938249588
399,51.721125,-28.4119166666667,0.9036499857902527
400,51.72146,-26.92833,0.1433
401,51.7215,-29.88692,0.2013
402,51.7217083333333,-28.2298611111111,0.2946699857711792
403,51.7226666666667,-28.0194166666667,0.8361600041389465
404,51.723625,-28.2866666666667,0.29794999957084656
405,51.7247083333333,-27.6174444444444,0.5952699780464172
406,51.7247916666667,-27.8564166666667,0.30160000920295715
407,51.7249166666667,-28.1943333333333,0.21644000709056854
408,51.7250833333333,-28.13275,0.2173600047826767
409,51.7255,-26.79364,0.0048
410,51.72708,-29.10058,0.116759
411,51.7290416666667,-28.3547222222222,0.3218599855899811
412,51.73671,-26.95194,0.1438
413,51.73746,-29.58519,0.189235
414,51.73759,-27.44997,0.193309
415,51.737833333333334,-28.44388888888889,0.29679998755455017
416,51.7392083333333,-27.6534444444444,0.7947700023651123
417,51.7410416666667,-28.3016666666667,0.21559999883174896
418,51.74196,-28.168,0.130845
419,51.74275,-28.45725,0.26535001397132874
420,51.7429583333333,-27.9056388888889,0.9829300045967102
421,51.74333333333333,-27.449450000000002,2.05049991607666
422,51.74375,-26.50978,0.0575
423,51.74404,-27.41414,0.14113
424,51.7445,-28.34131,0.067347
425,51.7445,-28.5281944444444,0.9952200055122375
426,51.74458,-29.91658,0.1897
427,51.745416666666664,-28.304361111111113,0.21570000052452087
428,51.7455,-28.2738611111111,0.2648800015449524
429,51.7456666666667,-28.2709444444444,0.21724000573158264
430,51.7489166666667,-28.2730555555556,0.21490000188350677
431,51.75021,-28.17939,0.0626
432,51.75258,-27.13728,0.144681
433,51.7530833333333,-28.2061111111111,1.0029100179672241
434,51.7536666666667,-28.3943333333333,0.8970699906349182
435,51.7546666666667,-28.0125833333333,0.4574800133705139
436,51.75575,-28.0391666666667,0.14350000023841858
437,51.757,-28.3018888888889,0.29739001393318176
438,51.75721,-26.63483,0.1025
439,51.757250000000006,-27.33866666666667,1.8279999494552612
440,51.7578333333333,-27.9782777777778,0.7969899773597717
441,51.757875,-28.54975,0.23717999458312988
442,51.75791666666667,-28.825222222222223,0.5006999969482422
443,51.7585,-26.59425,0.1025
444,51.7595833333333,-28.3229166666667,0.21774999797344208
445,51.7597083333333,-27.8445277777778,0.9609299898147583
446,51.75970833333333,-28.74824999999999,0.2524000108242035
447,51.75995833333333,-27.74463888888889,0.3034999966621399
448,51.7609166666667,-28.515,3.9999998989515007e-05
449,51.7610833333333,-28.3331388888889,0.8131099939346313
450,51.76246,-29.99494,0.1077
451,51.76296,-29.31547,0.148426
452,51.7650833333333,-27.7403611111111,2.0157599449157715
453,51.76508333333333,-28.12025,2.820499897003174
454,51.76591666666666,-27.9485,0.3163999915122986
