#sdss_objids,ra ,dec,nii/ha,oiii/hb
,,,,
,,,,
1.23765E+18,329.32014,-7.914027,0.2009632,0.0789461
,,,,
1.23767E+18,329.32996,-8.012767,-0.3210598,0.33323
,,,,
1.23767E+18,329.37261,-7.795741,-0.1396533,-0.0359471
,,,,
1.23766E+18,353.31154,0.019318,0.0390547,0.799298
,,,,
1.23766E+18,356.787,15.431823,-0.0264564,0.4637958
,,,,
1.23765E+18,358.52365,-10.308499,0.0564295,0.0479228
,,,,
1.23765E+18,358.52933,-10.421351,0.1769659,-0.3609547
,,,,
1.23765E+18,358.55703,-10.419044,0.1497165,-0.327428
