,name,ra ,dec
617,1237650000000000000.00,260.40648,58.022051
619,1237660000000000000.00,312.74513,-0.937448
621,1237650000000000000.00,321.17342,-8.294702
623,1237660000000000000.00,322.60928,-0.03466
625,1237660000000000000.00,322.68752,-0.042704
627,1237670000000000000.00,327.55713,-7.614108
629,1237660000000000000.00,328.98406,-9.344368
631,1237650000000000000.00,329.32014,-7.914027
633,1237670000000000000.00,329.32996,-8.012767
635,1237670000000000000.00,329.37261,-7.795741
637,1237660000000000000.00,353.31154,0.019318
639,1237660000000000000.00,356.787,15.431823
641,1237650000000000000.00,358.52365,-10.308499
643,1237650000000000000.00,358.52933,-10.421351
645,1237650000000000000.00,358.55703,-10.419044
